iter	Logloss
0	0.6121161012
1	0.5473466713
2	0.4968277727
3	0.4625531594
4	0.4366712058
5	0.4074038889
6	0.3897883968
7	0.3676182305
8	0.3551700356
9	0.3439620509
10	0.3267821613
11	0.3175694558
12	0.3053840054
13	0.2915885989
14	0.280577482
15	0.2717109866
16	0.264922386
17	0.2575971189
18	0.253119418
19	0.2477193997
20	0.2405020609
21	0.2361549934
22	0.2287487914
23	0.2214846418
24	0.2168028704
25	0.2132266795
26	0.2105638101
27	0.2083918803
28	0.2053213904
29	0.2016970138
30	0.1998636797
31	0.1974614923
32	0.1956536228
33	0.194047546
34	0.1915334459
35	0.1894793355
36	0.1866281286
37	0.1844201597
38	0.1816234374
39	0.1805567014
40	0.1792680974
41	0.1783130139
42	0.1769581025
43	0.1761627754
44	0.1749251426
45	0.1741515988
46	0.1731153446
47	0.1721389164
48	0.1715178047
49	0.1704641806
50	0.1690786967
51	0.1685044482
52	0.1679134972
53	0.1674006645
54	0.1662989943
55	0.1652821349
56	0.1647112711
57	0.1643031658
58	0.1632039103
59	0.1627931287
60	0.162461294
61	0.1618107836
62	0.1614942895
63	0.1612185223
64	0.1605618838
65	0.160251893
66	0.1596353158
67	0.1593473858
68	0.1590893052
69	0.1588768528
70	0.1579047876
71	0.1576830692
72	0.1574791513
73	0.1571524153
74	0.1568694373
75	0.1566385376
76	0.1562165411
77	0.1560205783
78	0.1558389795
79	0.1556158061
80	0.1554215629
81	0.1552552815
82	0.1550812671
83	0.1544463679
84	0.1543034981
85	0.1541727667
86	0.1536917862
87	0.1535442154
88	0.1534065548
89	0.1532718513
90	0.1531238901
91	0.1529911765
92	0.1528692491
93	0.1524907227
94	0.1523867209
95	0.1522596503
96	0.1520839218
97	0.1519525425
98	0.151677694
99	0.1515692335
100	0.1514452764
101	0.1513339258
102	0.1512286972
103	0.1511048435
104	0.1509954253
105	0.1504719256
106	0.150379026
107	0.1502796325
108	0.1501771725
109	0.1500735864
110	0.1499387165
111	0.1498466426
112	0.1495537606
113	0.1494015259
114	0.1493247973
115	0.1490099023
116	0.1488996257
117	0.1484516613
118	0.1483590853
119	0.1482701378
120	0.1481956176
121	0.1480784463
122	0.1479872244
123	0.147737938
124	0.1476563987
125	0.1475697421
126	0.1474853277
127	0.1473945426
128	0.1473091968
129	0.1472323675
130	0.1471469477
131	0.1470725182
132	0.1470049896
133	0.1466889673
134	0.1466300768
135	0.146534673
136	0.1464370108
137	0.1462868739
138	0.1462044551
139	0.1461401315
140	0.1460535313
141	0.1459373003
142	0.1458801455
143	0.1458181654
144	0.1457368164
145	0.145677125
146	0.1456036236
147	0.145531974
148	0.14546801
149	0.1453960014
150	0.145333239
151	0.1452686341
152	0.1451888002
153	0.1451165202
154	0.1450596426
155	0.1450028513
156	0.1449495727
157	0.1449052024
158	0.1448420046
159	0.1445528784
160	0.1444817202
161	0.1442137312
162	0.1441215704
163	0.1440770884
164	0.144018973
165	0.1439554122
166	0.1438977652
167	0.1436317709
168	0.1435592292
169	0.143509221
170	0.143437242
171	0.1433798838
172	0.1432948097
173	0.1432231251
174	0.143151927
175	0.1429308542
176	0.1428702457
177	0.1428248746
178	0.1427696895
179	0.1426967288
180	0.1426328504
181	0.1425809512
182	0.1425296123
183	0.1424764032
184	0.1424134778
185	0.1423471405
186	0.1422393526
187	0.1422007191
188	0.1421132629
189	0.1420704851
190	0.142034458
191	0.1419763604
192	0.1419214597
193	0.1418648421
194	0.1418197489
195	0.1417693125
196	0.1417167298
197	0.1415228164
198	0.1414653836
199	0.1414026933
200	0.1413576045
201	0.1413046783
202	0.1412576348
203	0.1411966984
204	0.1410591767
205	0.1410209786
206	0.1409567588
207	0.1409010722
208	0.1408548569
209	0.1408031542
210	0.1407355549
211	0.1406601728
212	0.1401571349
213	0.1401104557
214	0.140060122
215	0.140022096
216	0.1399631809
217	0.1399091124
218	0.1398723532
219	0.1398179611
220	0.1397730256
221	0.1397251971
222	0.1396676112
223	0.1396231654
224	0.1393811844
225	0.1393395266
226	0.1392963304
227	0.1392382297
228	0.1391934549
229	0.1391493588
230	0.1391092984
231	0.1390741145
232	0.1390417395
233	0.1390026723
234	0.1389034513
235	0.1388549934
236	0.1386538748
237	0.138607633
238	0.1385719342
239	0.1384698814
240	0.1384194912
241	0.138378876
242	0.138347415
243	0.1383062648
244	0.1382736978
245	0.1382215616
246	0.1381728674
247	0.1381069094
248	0.1380623578
249	0.1380247508
250	0.1379919487
251	0.1379226759
252	0.13785773
253	0.1376582722
254	0.1376166496
255	0.1375650963
256	0.1375039162
257	0.1374540692
258	0.1374147043
259	0.1373815868
260	0.1373409319
261	0.1372782832
262	0.1371824648
263	0.1371375012
264	0.1370507529
265	0.1370118385
266	0.1369759231
267	0.1368989969
268	0.1367415319
269	0.1366934135
270	0.1366539067
271	0.1366057666
272	0.1365669614
273	0.1365227996
274	0.1364767025
275	0.136445598
276	0.1364113533
277	0.1363593907
278	0.1363158754
279	0.1362783137
280	0.1362480646
281	0.1361531768
282	0.1361231982
