iter	Passed	Remaining
0	624	311822
1	1033	257326
2	1411	233782
3	2004	248615
4	2435	241111
5	2845	234318
6	3148	221736
7	3503	215487
8	3819	208398
9	4192	205446
10	4592	204172
11	4948	201231
12	5471	204959
13	6199	215222
14	6602	213490
15	7057	213504
16	7390	209973
17	7870	210764
18	8299	210106
19	8743	209844
20	9388	214154
21	9805	213045
22	10138	210269
23	10723	212690
24	11323	215144
25	11850	216042
26	12565	220121
27	12971	218660
28	13401	217661
29	13741	215290
30	14084	213088
31	14568	213066
32	14946	211518
33	15329	210109
34	15722	208878
35	16110	207644
36	16540	206985
37	16938	205930
38	17431	206050
39	17917	206048
40	18335	205267
41	18743	204394
42	19148	203513
43	19585	202979
44	19956	201781
45	20433	201672
46	20958	201999
47	21539	202826
48	22015	202628
49	22943	206488
50	23705	208702
51	24203	208523
52	24587	207373
53	24926	205874
54	25345	205066
55	25743	204105
56	26197	203604
57	26798	204222
58	27240	203607
59	27715	203249
60	28090	202157
61	28555	201731
62	29075	201682
63	29557	201360
64	30074	201267
65	30693	201833
66	31474	203410
67	31909	202719
68	32313	201844
69	32733	201075
70	33172	200436
71	33611	199802
72	34051	199178
73	34419	198145
74	34800	197203
75	35146	196081
76	35613	195641
77	36271	196240
78	36620	195152
79	37107	194814
80	37497	193969
81	37803	192706
82	38175	191798
83	38581	191070
84	39052	190669
85	39363	189493
86	39713	188524
87	40044	187479
88	40381	186483
89	40699	185407
90	41006	184302
91	41352	183390
92	41633	182202
93	41949	181185
94	42218	179982
95	42621	179363
96	42997	178641
97	43305	177640
98	43598	176597
99	43906	175626
100	44320	175089
101	44630	174147
102	44926	173163
103	45215	172166
104	45598	171536
105	45973	170882
106	46292	170026
107	46615	169197
108	46925	168328
109	47234	167467
110	47556	166663
111	47902	165949
112	48211	165113
113	48552	164397
114	48955	163893
115	49259	163067
116	49597	162356
117	49960	161737
118	50280	160982
119	50604	160246
120	50940	159556
121	51262	158829
122	51679	158398
123	52128	158066
124	52492	157476
125	52810	156754
126	53170	156161
127	53479	155423
128	53860	154902
129	54173	154186
130	54517	153563
131	54842	152895
132	55192	152297
133	55467	151499
134	55746	150721
135	56070	150070
136	56434	149531
137	56847	149121
138	57198	148550
139	57496	147849
140	57877	147361
141	58184	146691
142	58498	146041
143	58835	145453
144	59183	144897
145	59464	144182
146	59858	143742
147	60260	143321
148	60631	142829
149	60986	142302
150	61293	141665
151	61627	141093
152	61958	140520
153	62300	139973
154	62575	139281
155	62874	138647
156	63176	138023
157	63504	137460
158	63785	136798
159	64088	136188
160	64420	135642
161	64784	135167
162	65170	134739
163	65463	134121
164	65839	133674
165	66210	133218
166	66533	132668
167	66876	132159
168	67151	131520
169	67478	130987
170	67825	130495
171	68200	130055
172	68570	129609
173	68913	129112
174	69275	128654
175	69543	128022
176	69862	127489
177	70127	126859
178	70490	126411
179	70797	125862
180	71155	125407
181	71484	124900
182	71755	124297
183	72075	123781
184	72443	123350
185	72822	122937
186	73143	122427
187	73464	121919
188	73807	121450
189	74099	120899
190	74394	120356
191	74723	119868
192	75044	119370
193	75435	118986
194	75759	118495
195	76088	118015
196	76433	117560
197	76754	117070
198	77141	116680
199	77531	116296
200	77852	115810
201	78218	115391
202	78625	115033
203	79151	114847
204	79500	114403
205	79843	113951
206	80211	113536
207	80716	113313
208	81082	112895
209	81476	112515
210	81850	112107
211	82177	111637
212	82580	111270
213	82982	110901
214	83297	110417
215	83637	109967
216	84108	109690
217	84607	109445
218	84886	108918
219	85251	108501
220	85629	108102
221	85969	107655
222	86281	107174
223	86563	106659
224	86920	106236
225	87245	105775
226	87560	105304
227	87911	104876
228	88260	104447
229	88538	103936
230	88880	103501
231	89213	103056
232	89491	102549
233	89795	102075
234	90099	101601
235	90409	101136
236	90675	100623
237	90996	100172
238	91279	99681
239	91598	99231
240	91928	98794
241	92260	98360
242	92545	97877
243	92881	97449
244	93143	96945
245	93495	96536
246	93798	96077
247	94144	95662
248	94442	95201
249	94755	94755
250	95039	94281
251	95369	93855
252	95702	93432
253	96000	92976
254	96291	92515
255	96584	92057
256	96912	91632
257	97268	91235
258	97579	90797
259	97841	90314
260	98147	89874
261	98510	89486
262	98815	89046
263	99096	88586
264	99501	88236
265	99800	87794
266	100088	87343
267	100418	86929
268	100766	86531
269	101071	86097
270	101353	85645
271	101671	85224
272	102031	84839
273	102335	84408
274	102694	84022
275	102982	83580
276	103305	83166
277	103617	82745
278	103958	82347
279	104309	81957
280	104558	81489
281	104857	81060
282	105163	80638
283	105474	80219
284	105810	79822
285	106158	79433
286	106473	79020
287	106809	78623
288	107105	78197
289	107421	77788
290	107732	77374
291	108096	77000
292	108376	76566
293	108654	76131
294	108950	75711
295	109304	75331
296	109595	74909
297	109916	74506
298	110157	74052
299	110421	73614
300	110756	73224
301	111102	72842
302	111373	72411
303	111691	72011
304	112040	71632
305	112352	71229
306	112688	70843
307	113019	70453
308	113348	70063
309	113612	69633
310	113880	69206
311	114239	68836
312	114513	68415
313	114778	67989
314	115103	67600
